PriceofProduct,ProductCategory,DiscountApplied,TotalAmountPaid,PaymentMethod
99.06418192,Clothing,10.32291902,88.7412629,Debit Card
102.5140359,Books,13.77190511,88.74213081,Debit Card
91.407076,Books,2.664887208,88.74218879,Credit Card
92.22564408,Home Decor,3.482947983,88.7426961,PayPal
96.23350379,Electronics,7.490482762,88.74302103,Debit Card
90.29197056,Electronics,1.545060553,88.74691001,Credit Card
101.9087442,Clothing,13.16033099,88.74841317,Cash
92.29284122,Home Decor,3.539244246,88.75359697,Credit Card
89.6427179,Books,0.886277815,88.75644009,Cash
99.32935719,Clothing,10.56768532,88.76167187,Credit Card
104.917071,Books,16.15101551,88.76605552,PayPal
91.92279711,Clothing,3.149531061,88.77326605,Credit Card
108.3819367,Books,19.60618816,88.77574858,Credit Card
91.73986635,Home Decor,2.957415334,88.78245102,Cash
103.7340534,Books,14.94034661,88.79370681,PayPal
89.95013625,Books,1.155124206,88.79501204,PayPal
100.7346986,Electronics,11.93005376,88.8046448,Debit Card
95.50420963,Clothing,6.687080684,88.81712895,PayPal
95.5087298,Books,6.690248827,88.81848097,PayPal
102.5986935,Electronics,13.78017053,88.81852297,Cash
104.5272666,Home Decor,15.69473386,88.83253274,Credit Card
92.56164203,Home Decor,3.726203528,88.8354385,Cash
108.3810276,Home Decor,19.544697,88.83633058,PayPal
90.80647852,Electronics,1.967060735,88.83941779,Cash
93.03068282,Home Decor,4.189725727,88.84095709,Credit Card
106.4190366,Electronics,17.57665621,88.84238043,PayPal
94.30885376,Books,5.465888484,88.84296528,PayPal
96.2934784,Electronics,7.444110983,88.84936742,Debit Card
97.98617626,Home Decor,9.135400178,88.85077608,Debit Card
105.0486323,Electronics,16.19602685,88.85260543,Credit Card
100.4159769,Books,11.5569505,88.8590264,Cash
105.9108878,Electronics,17.05044925,88.86043856,PayPal
96.01009587,Clothing,7.149331994,88.86076388,Debit Card
92.50629871,Clothing,3.638020349,88.86827836,Debit Card
94.98881996,Books,6.116359056,88.8724609,Cash
90.48765693,Clothing,1.615068895,88.87258804,Cash
106.4832974,Home Decor,17.60955236,88.87374502,PayPal
98.84990079,Home Decor,9.975027723,88.87487307,PayPal
90.93913326,Electronics,2.059931804,88.87920146,Debit Card
100.153209,Books,11.27025696,88.88295201,Debit Card
93.53214416,Books,4.64695359,88.88519057,Credit Card
89.79885256,Books,0.909718959,88.8891336,PayPal
99.76684596,Clothing,10.87259213,88.89425383,Credit Card
89.7673506,Clothing,0.872082649,88.89526795,Credit Card
94.1574385,Clothing,5.261579035,88.89585947,Credit Card
107.8903604,Electronics,18.99046492,88.89989552,Debit Card
107.1543463,Electronics,18.23718812,88.9171582,Debit Card
99.78040816,Books,10.85681305,88.92359511,Debit Card
101.6960251,Home Decor,12.77208905,88.92393603,PayPal
95.65347501,Books,6.727186883,88.92628813,PayPal
92.34891518,Home Decor,3.415045125,88.93387006,Debit Card
95.47836246,Electronics,6.541967313,88.93639515,PayPal
96.53548388,Books,7.598825248,88.93665863,Cash
101.5184502,Clothing,12.58013511,88.93831512,PayPal
89.45120136,Books,0.512411218,88.93879014,Credit Card
99.3544669,Home Decor,10.41466663,88.93980027,Debit Card
90.70961655,Books,1.769777948,88.9398386,Cash
92.0877312,Clothing,3.146978157,88.94075304,PayPal
95.34200163,Home Decor,6.399999631,88.942002,Cash
92.5277306,Clothing,3.57993663,88.94779397,Cash
98.0225368,Clothing,9.069483436,88.95305336,PayPal
104.0187011,Electronics,15.05992312,88.95877802,Cash
100.8952347,Books,11.93068984,88.96454486,Debit Card
